title,author,volume,page,grade
Kind Hearts Are Gardens,Anonymous, X, 31,GRADE I
I Had a Little Pony,Anonymous, X, 31,GRADE I
getty Was a Welshman,Anonymous, X, 31,GRADE I
"Hushaby, Baby, Thy Cradle Is Green",Anonymous, X, 32,GRADE I
There Is Very Little Trouble,Anonymous, X, 32,GRADE I
"Mistress Mary, Quite Contrary",Anonymous, X, 32,GRADE I
"Hearts, Like Doors, Will Open With Ease",Anonymous, X,32,GRADE I
Weather Song,Anonymous, X, 33,GRADE I
The Old Woman Who Bought a Pig,Anonymous, X, 33,GRADE I
The Three Little Kittens,Anonymous, X, 37,GRADE I
Pussy,Jane Taylor, X, 38,GRADE I
Mother Hubbard and Her Dog,Anonymous, X, 39,GRADE I
The Boy and the Wolves,Andrew Lang, I, 42,GRADE II
The Indian Who Lost His Wife,Andrew Lang, I, 45,GRADE II
"The Tiger, The Brahman, and the Jackal",Flora Annie Steel, I, 82,GRADE II
The Lambikin,Flora Annie Steel, I, 86,GRADE II
The Rat's Wedding,Flora Annie Steel, I, 89,GRADE II
The Jackal and the Partridge,Flora Annie Steel, I, 98,GRADE II
The Jackal and the Crocodile,Flora Annie Steel, I, 102,GRADE II
The Jackal and the Iguana,Flora Annie Steel, I, 106,GRADE II
The Bear's Bad Bargain,Flora Annie Steel, I, 109,GRADE II
The Thief and the Fox,Ramaswami Raju, I, 114,GRADE II
The Farmer and the Fox,Ramaswami Raju, I, 115,GRADE II
The Fools and the Drum,Ramaswami Raju, I, 116,GRADE II
The Lion and the Goat,Ramaswami Raju, I, 117,GRADE II
The Glowworm and the Jackdaw,Ramaswami Raju, I, 118,GRADE II
The Camel and the Pig,Ramaswami Raju, I, 119,GRADE II
The Dog and the Dog Killer,Ramaswami Maju, I, 120,GRADE II
"The Tiger, the Fox, and the Hunters",Ramaswami Raju, I, 121,GRADE II
"The Sea, the Fox, and the Wolf",Ramaswami Raju, I, 122,GRADE II
The Fox in the Well,Ramaswami Raju, I, 123,GRADE II
Ashiepattle and His Goodly Crew,P. C. Asbjérnsen, I, 125,GRADE II
The Squire's Bride,P. C. Asbjérnsen, I, 136,GRADE II
The Doll in the Grass,P. C. Asbjornsen, I, 140,GRADE II
The Bear and the Fox,P. C. Asbjoérnsen, I, 142,GRADE II
The Lad Who Went to the North Wind,Sir George W. Dasent, I, 147,GRADE II
The Husband Who Was to Mind the House,Sir George W. Dasent, I, 151,GRADE II
How One Went Out to Woo,Sir George W. Dasent, I, 154,GRADE II
Why the Bear Is Stumpy-Tailed,Sir George W. Dasent, I, 155,GRADE II
"Boots Who Made the Princess Say: ""That's a Story""",Sir George W. Dasent, I, 156,GRADE II
Thumbling,W. and J. Grimm, I, 272,GRADE II
Snow-White and Rose-Red,W. and J. Grimm, I, 285,GRADE II
The Sleeping Beauty in the Wood,Charles Perrault, I, 405,GRADE II
The Goose-Girl,Anonymous, I, 470,GRADE II
The Town Mouse and the Country Mouse,Aesop, I, 493,GRADE II
"The Man, Boy, and Donkey",Aesop, I, 494,GRADE II
The Shepherd's Boy,Aesop, I, 495,GRADE II
Androcles,Aesop, I, 496,GRADE II
The Fox and the Stork,Aesop, I, 497,GRADE II
The Crow and the Pitcher,Aesop, I, 498,GRADE II
The Frogs Desiring a King,Aesop, I, 499,GRADE II
The Frog and the Ox,Aesop, I, 500,GRADE II
The Cock and the Pearl,Aesop, I, 501,GRADE II
The Fox Without a Tail,Aesop, I, 501,GRADE II
The Fox and the Cat,Aesop, I, 502,GRADE II
The Dog in the Manger,Aesop, I, 503,GRADE II
The Fox and the Goat,Aesop, I, 503,GRADE II
Belling the Cat,Aesop, I, 504,GRADE II
The Jay and the Peacock,Aesop, I, 505,GRADE II
The Ass and the Lap-Dog,Aesop, I, 505,GRADE II
The Ant and the Grasshopper,Aesop, I, 506,GRADE II
The Woodman and the Serpent,Aesop, I, 507,GRADE II
The Milkmaid and Her Pail,Aesop, I, 507,GRADE II
The Lion and the Mouse,Aesop, I, 508,GRADE II
Hercules and the Waggoner,Aesop, I, 509,GRADE II
The Lion's Share,Aesop, I, 509,GRADE II
The Fox and the Crow,Aesop, I, 510,GRADE II
The Dog and the Shadow,Aesop, I, 511,GRADE II
The Wolf and the Lamb,Aesop, I, 511,GRADE II
"The Bat, Birds, and Beasts",Aesop, I, 512,GRADE II
The Belly and the Members,Aesop, I, 518,GRADE II
The Fox and the Grapes,Aesop, I, 513,GRADE II
The Swallow and the Birds,Aesop, I, 514,GRADE II
Lions and Tigers,Anonymous, VIII, 447,GRADE II
Apes and Monkeys,Anonymous, VIII, 453,GRADE II
The Hippopotamus and the Rhinoceros,Anonymous, VIII, 456,GRADE II
The Sleepy Song,Josephine D. Bacon, X, 41,GRADE II
Twenty Froggies,George Cooper, X, 42,GRADE II
A Child's Even Song,Richard Le Gallienne, X, 43,GRADE II
Old Gaelic Lullaby,Anonymous, X, 44,GRADE II
"Sleep, Baby, Sleep!",Anonymous, X, 44,GRADE II
Lady Button-Eyes,Eugene Field, X, 45,GRADE II
The Rock-a-by-Lady,Eugene Field, X, 47,GRADE II
The New Moon,Anonymous, X, 48,GRADE II
The Spider and the Fly,Mary Howitt, X, 49,GRADE II
The Sugar-Plum Tree,Eugene Field, X, 52,GRADE II
Young Night-Thought,Robert L. Stevenson, X, 53,GRADE II
Lullaby of an Infant Chief,Sir Walter Scott, X, 54,GRADE II
Sweet and Low,Alfred Tennyson, X, 55,GRADE II
"Wynken, Blynken, and Nod",Eugene Field, X, 55,GRADE II
"Cuddle Down, Dolly",Kate Douglas Wiggin, X, 57,GRADE II
The Shut-Eye Train,Eugene Field, X, 58,GRADE II
A Mortifying Mistake,Anna Maria Pratt, X, 60,GRADE II
Manabozho,H. R. Schoolcraft, I, 19,GRADE III
Why the Diver Duck Has so Few Tail Feathers,H. R. Schooleraft, I, 26,GRADE III
Manabozho Is Changed into a Wolf,H. R. Schoolcraft, I, 28,GRADE III
Why the Woodpecker Has Red Head Feathers,H. R. Schoolcraft, I, 31,GRADE III
Manabozho Is Robbed by the Wolves,H. R. Schoolcraft, I, 36,GRADE III
Punchkin,E. Frere, I, 48,GRADE III
"How the Sun, Moon, and Wind Went Out to Dinner",E. Frere, I, 65,GRADE III
Hok Lee and the Dwarfs,Andrew Lang, I, 238,GRADE III
A Dreadful Boar,Adele M. Fielde, I, 244,GRADE III
The Five Queer Brothers,Adele M. Fielde, I, 247,GRADE III
The Accomplished and Lucky Teakettle,A. B. Mitford, I, 251,GRADE III
The Adventures of Little Peachling,A. B. Mitford, I, 253,GRADE III
The Two Lizards,Annie Ker, I, 256,GRADE III
Hansel and Grethel,W. & J. Grimm, I, 262,GRADE III
The Six Swans,W. & J. Grimm, I, 279,GRADE III
Puss in Boots,Charles Perrault, I, 367,GRADE III
Blue Beard,Charles Perrault, I, 388,GRADE III
The Brave Little Tailor,Anonymous, I, 394,GRADE III
The Fair One with Golden Locks,Miss Mulock, I, 412,GRADE III
He Who Knew Not Fear,Anonymous, I, 478,GRADE III
A Story of Decoration Day for the Little Children of To-day,Elizabeth Harrison, IX, 23,GRADE III
Willie Winkie,William Miller, X, 63,GRADE III
The Giant,Charles Mackay, X, 64,GRADE III
Marjorie's Almanac,Thomas B. Aldrich, X, 65,GRADE III
Who Stole the Bird's Nest?,L. Maria Child, X, 67,GRADE III
How the Leaves Came Down,Susan Coolidge, X, 70,GRADE III
Try Again,Anonymous, X, 71,GRADE III
Blowing Bubbles,William Allingham, X, 72,GRADE III
Baby Bye,Theodore Tilton, X, 73,GRADE III
A Baky's Feet,A. C. Swinburne, X, 76,GRADE III
The Fairy Folk,William Allingham, X, 77,GRADE III
The Vowels: An Enigma,Jonathan Swift, X, 79,GRADE III
The Children's Hour,H. W. Longfellow, X, 79,GRADE III
Small and Early,Tudor Jenks, X, 81,GRADE III
Advice,Anonymous, X, 82,GRADE III
Robin Goodfellow,Anonymous, X, 84,GRADE III
Suppose,Phoebe Cary, X, 86,GRADE III
To-day,Thomas Carlyle, X, 87,GRADE III
My Shadow,Robert L. Stevenson, X, 88,GRADE III
The Lost Doll,Charles Kingsley, X, 89,GRADE III
Time to Rise,Robert L. Stevenson, X, 90,GRADE III
The Swing,Robert L. Stevenson, X, 90,GRADE III
Happy Thought,Robert L. Stevenson, X, 91,GRADE III
The Lamplighter,Robert L. Stevenson, X, 91,GRADE III
O Little Town of Bethlehem,Phillips Brooks, X, 92,GRADE III
Picture-Books in Winter,Robert L. Stevenson, X, 93,GRADE III
The Land of Story-Books,Robert L. Stevenson, X, 94,GRADE III
Christmas,Alfred Tennyson, X, 95,GRADE III
The Land of Counterpane,Robert L. Stevenson, X, 96,GRADE III
Block City,Robert L. Stevenson, X, 97,GRADE III
The Dancers,Michael Field, X, 98,GRADE III
Marching Song,Robert L. Stevenson, X, 98,GRADE III
Winter-Time,Robert L. Stevenson, X, 99,GRADE III
Foreign Lands,Robert L. Stevenson, X, 100,GRADE III
The Owl and the Pussy-Cat,Edward Lear, X, 101,GRADE III
Foreign Children,Robert L. Stevenson, X, 102,GRADE III
A Visit from St. Nicholas,Clement C. Moore,X, 103,GRADE III
Three Kings of Orient,J. H. Hopkins, X, 105,GRADE III
Bed in Summer,Robert L. Stevenson, X, 106,GRADE III
My Bed Is a Boat,Robert L. Stevenson, X, 106,GRADE III
The Walrus and the Carpenter,Lewis Carroll, X, 107,GRADE III
The Table and the Chair,Edward Lear, X, 111,GRADE III
A Good Play,Robert L. Stevenson, X, 112,GRADE III
"God Rest Ye, Merry Gentlemen",Dinah Maria Mulock, X, 113,GRADE III
A Lobster Quadrille,Lewis Carroll, X, 114,GRADE III
Young Dandelion,Dinah Maria Mulock, X, 115,GRADE III
Why the Fish Laughed,Joseph Jacobs, I, 67,GRADE IV
The Farmer and the Money Lender,Joseph Jacobs, I, 75,GRADE IV
Pride Goeth Before a Fall,Joseph Jacobs, I, 78,GRADE IV
How the Wicked Sons Were Duped,Joseph Jacobs, I, 81,GRADE IV
The Witch in the Stone Boat,Andrew Lang, I, 158,GRADE IV
The Snuffbox,Paul Sébillot, I, 166,GRADE IV
The Golden Blackbird,Paul Sébillot, I, 172,GRADE IV
The Half-Chick,Andrew Lang, I, 180,GRADE IV
The Three Brothers,Hermann R. Kletke, I, 186,GRADE IV
The Glass Mountain,Hermann R. Kletke, I, 190,GRADE IV
Huntsman the Unlucky,John T. Naaké, I, 196,GRADE IV
Story of Little Simpleton,John T. Naaké, I, 202,GRADE IV
The Golden Fish,Lillian M. Gask, I, 209,GRADE IV
The Wonderful Hair,W. S. Karajich, I, 213,GRADE IV
The Language of Animals,W. S. Karajich, I, 216,GRADE IV
The Emperor Trojan's Goat's Ears,W. S. Karajich, I, 223,GRADE IV
The Maiden Who Was Wiser than the King,W. S. Karajich, I, 226,GRADE IV
TALES OF ROBIN HOOD,,IV, 331-378,GRADE IV
Wild Robin,Sophie May, VI, 106,GRADE IV
Uncle David's Nonsensical Story,Catherine Sinclair, VI, 362,GRADE IV
The Grand Feast,Catherine Sinclair, VI, 374,GRADE IV
The Story of Fairyfoot,Frances Browne, VI, 391,GRADE IV
The Katy-Did's Party,Harriet B. Stowe, VIII, 305,GRADE IV
The Beech and the Oak,Carl Ewald, VIII, 312,GRADE IV
The Mist,Carl Ewald, VIII, 336,GRADE IV
The Anemones,Carl Ewald, VIII, 343,GRADE IV
The Weeds,Carl Ewald, VIII, 351,GRADE IV
The Little Baxters Go Marketing,Tudor Jenks, IX, 18,GRADE IV
John Gilpin,William Cowper, X, 117,GRADE IV
The Flowers,Robert L. Stevenson, X, 126,GRADE IV
The Duel,Eugene Field, X, 127,GRADE IV
Little Orphant Annie,James W. Riley, X, 128,GRADE IV
Ready for Duty,Anna B. Warner, X, 131,GRADE IV
Thanatopsis,William C. Bryant, X, 182,GRADE IV
Heaving of the Lead,Charles Dibdin, X, 135,GRADE IV
Morning,James Beattie, X, 136,GRADE IV
The Coral Grove,James G. Percival, X, 137,GRADE IV
The Jumblies,Edward Lear, X, 138,GRADE IV
The Man in the Moon,James W. Riley, X, 141,GRADE IV
The Raggedy Man,James W. Riley, X, 143,GRADE IV
The Dinkey-Bird,Eugene Field, X, 145,GRADE IV
Hollyhock,Sarah J. Day, X, 146,GRADE IV
The Pied Piper of Hamelin,Robert Browning, X, 147,GRADE IV
Waiting Around,Burges Johnson, X, 157,GRADE IV
Wishing,William Allingham, X, 158,GRADE IV
De King and De Peafowl,Mary P. Milne-Horne, I, 259,GRADE V
The Legend of Saint Christopher,Lillian M. Gask, II, 187,GRADE V
Prince Ivan and the Grey Wolf,Lillian M. Gask, II, 195,GRADE V
The Riddle of the Sphinx,Elsie F. Buckley, II, 222,GRADE V
The Gift of Athéné,Sir George W. Cox, II, 250,GRADE V
"Daphne, Child of the Morning",Sir George W. Cox, II, 254,GRADE V
The Vengeance of Appolo,Sir George W. Cox, II, 255,GRADE V
The Story of Arion,Sir George W. Cox, II, 261,GRADE V
The Hare Who Thought the World Had Come to an End,H. N. Francis, II, 430,GRADE V
The Watering of the Saplings,Rev. W. H. D. Rouse, II, 433,GRADE V
The Old Hare and the Elephants,Sir Edwin Arnold, II, 434,GRADE V
The Elephant Has a Bet With the Tiger,Walter Skeat, II, 436,GRADE V
How the Tortoise Out-ran the Deer,C. F. Hartt, II, 441,GRADE V
"Which Was the Stronger, the Tortoise, the Tapir, or the Whale",C. F. Hartt, II, 444,GRADE V
How the Turtle Got His Shell,Annie Ker, II, 446,GRADE V
The Legend of Rata,Sir George Grey, II, 450,GRADE V
Why the Hippopotamus Lives in the Water,Elphinstone Dayrell, II, 455,GRADE V
Why the Elephant Has Small Eyes,Elphinstone Dayrell, II, 457,GRADE V
The Boy Who Set a Snare for the Sun,H. R. Schoolcraft, II, 460,GRADE V
Brownie and the Cook,Mrs. Dinah M. Craik, VI, 139,GRADE V
Brownie and the Cherry Tree,Mrs. Dinah M. Craik, VI, 149,GRADE V
The Ouphe of the Wood,Jean Ingelow, VI, 156,GRADE V
The Prince's Dream,Jean Ingelow, VI, 171,GRADE V
A Lost Wand,Jean Ingelow, VI, 183,GRADE V
Snap-Dragons—A Tale of Christmas Eve,Juliana H. Ewing, VI, 213,GRADE V
The Two Gifts,Lillian M. Gask, VI, 354,GRADE V
The Bar of Gold,Lillian M. Gask, VI, 357,GRADE V
ALICE IN WONDERLAND,,VI, 409-505,GRADE V
The Butterfly's Children,Mrs. Alfred Gatty, VIII, 254,GRADE V
The Dragon-Fly and the Water-Lily,Carl Ewald, VIII, 261,GRADE V
The Queen Bee,Carl Ewald, VIII, 279,GRADE V
The Oak and the Snail,Mrs. Alfred Gatty, VIII, 321,GRADE V
The Story of a Stone,David Starr Jordan, VIII, 325,GRADE V
How the Stone-Age Children Played,Charles C. Abbott, VIII, 331,GRADE V
Some Nice From the Kitchen Garden,Mrs. Alfred Gatty, VIII, 359,GRADE V
The Wind and the Flowers,Mrs. Alfred Gatty, VIII, 369,GRADE V
The Idea That Went Astray,Pauline C. Bouvé, IX, 168,GRADE V
Elegy Written in a Country Churchyard,Thomas Grey, X, 159,GRADE V
Crocus,Sarah J. Day, X, 164,GRADE V
To a Waterfowl,William C. Bryant, X, 165,GRADE V
The Brown Thrush,Lucy Larcom, X, 166,GRADE V
The Blue Jay,Susan Hartley Swett, X, 167,GRADE V
The Bluebird,Emily H. Miller, X, 168,GRADE V
The Nightingale and Glowworm,William Cowper, X, 169,GRADE V
The Lark and the Rook,Anonymous, X, 170,GRADE V
The Owl,Alfred Tennyson, X, 171,GRADE V
Robert of Lincoln,William C. Bryant, X, 172,GRADE V
To the Lady-Bird,Mrs. Southey, X, 174,GRADE V
The Grasshopper and Cricket,Leigh Hunt, X, 175,GRADE V
The Ant and the Cricket,Anonymous, X, 176,GRADE V
The Housekeeper,Charles Lamb, X, 177,GRADE V
Song,Alfred Tennyson, X, 178,GRADE V
The Grasshopper and Cricket,John Keats, X, 178,GRADE V
Keeping Store,Mary F. Butts, X, 179,GRADE V
The Kitten and Falling Leaves,William Wordsworth, X, 179,GRADE V
What the Wind Brings,Edmund C. Stedman, X, 180,GRADE V
The Wind,Robert L. Stevenson, X, 181,GRADE V
Who Has Seen the Wind?,Christina G. Rossetti, X, 182,GRADE V
Wind-Song,Nora Hopper, X, 182,GRADE V
Windy Nights,Robert L. Stevenson, X, 183,GRADE V
The Wind and the Moon,George MacDonald, X, 184,GRADE V
Sleigh Song,G. W. Pettee, X, 186,GRADE V
"Come, Little Leaves",George Cooper, X, 187,GRADE V
Seven Times One,Jean Ingelow, X, 188,GRADE V
A Pitcher of Mignonette,H. C. Bunner, X, 189,GRADE V
Signs of Rain,Dr. Edward Jenner, X, 190,GRADE V
A Boy's Song,James Hogg, X, 191,GRADE V
Farm-Yard Song,J. T. Trowbridge, X, 192,GRADE V
The Milkmaid,Jeffreys Taylor, X, 194,GRADE V
Hiawatha's Childhood,Henry W. Longfellow, X, 196,GRADE V
Seven Times Two,Jean Ingelow, X, 199,GRADE V
STORIES FROM NORTHERN SAGAS,,II, 9-91,GRADE VI
King Robert of Sicily,Henry W. Longfellow, II, 213,GRADE VI
The Bird Lover,Cornelius Mathews, II, 465,GRADE VI
"Wunzh, the Father of Indian Corn",Cornelius Mathews, II, 479,GRADE VI
The Four Seasons,Lillian M. Gask, II, 493,GRADE VI
The Three Lemons,Lillian M. Gask, II, 500,GRADE VI
The Winter-Spirit and His Visitor,Cornelius Mathews, II, 512,GRADE VI
How Theseus Slays the Minotaur,Nathaniel Hawthorne, III, 15,GRADE VI
"Pegasus, the Winged Horse",Nathaniel Hawthorne, III, 51,GRADE VI
The Heroes Sail Away in Search of the Golden Fleece,Charles Kingsley, III, 80,GRADE VI
How Jason Lost His Sandal,Charles Kingsley, III, 88,GRADE VI
How They Built the Ship Argo,Charles Kingsley, III, 98,GRADE VI
How the Argonauts Sailed to Colchis,Charles Kingsley, III, 102,GRADE VI
Hunting the Calydonian Boar,Elsie F. Buckley, III, 128,GRADE VI
The Winning of Atlanta,Elsie F. Buckley, III, 148,GRADE VI
Turning Everything Into Gold,Nathaniel Hawthorne, III, 172,GRADE VI
The Pomegranate Seeds,Nathaniel Hawthorne, III, 193,GRADE VI
TALES FROM EARLY ENGLISH CHRONICLES,,IV, 135-189,GRADE VI
Ali Baba and the Forty Thieves,, V, 15,GRADE VI
The Story of Aladdin or the Wonderful Lamp,, V, 46,GRADE VI
Sindbad the Sailor,, V, 108,GRADE VI
GULLIVER'S TRAVELS,,V, 249-312,GRADE VI
A Midsummer-Night's Dream,E. Nesbit, V, 331,GRADE VI
The Tempest,E. Nesbit, V, 338,GRADE VI
As You Like It,E. Nesbit, V, 345,GRADE VI
The Merchant of Venice,E. Nesbit, V, 351,GRADE VI
Nelly's Hospital,Louisa M. Alcott, VI, 25,GRADE VI
The Flight of the Dolls,Lucretia P. Hale, VI, 94,GRADE VI
Solomon John Goes for Apples,Lucretia P. Hale, VI, 102,GRADE VI
Dill,Mary E. W. Freeman, VI, 128,GRADE VI
Uncle Jack's Story,Mrs. E. M. Field, VI, 241,GRADE VI
Bryda's Dreadful Scrape,Mrs. E. M. Field, VI, 259,GRADE VI
Embellishment,Jacob Abbott, VI, 278,GRADE VI
The Great Stone Face,Nathaniel Hawthorne, VI, 293,GRADE VI
At Home with the Beavers,Lillian M. Gask, VIII, 381,GRADE VI
Two Enemies of the Beavers,Lillian M. Gask, VIII, 398,GRADE VI
The Squirrel's Story,Lillian M. Gask, VIII, 406,GRADE VI
A Den in the Rocks,Lillian M. Gask, VIII, 418,GRADE VI
Ships of the Desert,Lillian M. Gask, VIII, 429,GRADE VI
A Christmas Adventure,J. E. Chamberlin, IX, 55,GRADE VI
The Travelling Doll,Evelyn Snead Barnett, IX, 137,GRADE VI
The Call of the Sea,Frederick Palmer, IX, 201,GRADE VI
On a Tight Rope,Albert W. Tolman, IX, 213,GRADE VI
Down the Incline,Charles Newton Hood, IX, 220,GRADE VI
The Barefoot Boy,John G. Whittier, X, 201,GRADE VI
Thanksgiving Day,Lydia Maria Child, X, 204,GRADE VI
The Romance of the Swan's Nest,E. B. Browning, X, 205,GRADE VI
The Voice of Spring,Mary Howitt, X, 209,GRADE VI
Green Things Growing,Dinah Maria Mulock, X, 210,GRADE VI
A Boy's Prayer,H. C. Beeching, X, 211,GRADE VI
Daffodils,William Wordsworth, X, 211,GRADE VI
Daffodil,Katherine T. Hinkson, X, 212,GRADE VI
July,Susan Hartley Swett, X, 213,GRADE VI
To the Fringed Gentian,William C. Bryant, X, 214,GRADE VI
Summer Days,Anonymous, X, 215,GRADE VI
"Woodman, Spare That Tree!",George Pope Morris, X, 216,GRADE VI
Daisy's Song,John Keats, X, 217,GRADE VI
The Frost,Hannah Flagg Gould, X, 218,GRADE VI
Almond Blossom,Edwin Arnold, X, 218,GRADE VI
A Song of Clover,Saxe Holm, X, 220,GRADE VI
A Storm in the Distance,Paul H. Hayne, X, 221,GRADE VI
Seven Times Four,Jean Ingelow, X, 222,GRADE VI
To a Skylark,Percy Bysshe Shelley, X, 223,GRADE VI
Swimming,Lord Byron, X, 228,GRADE VI
The Brook,Alfred Tennyson, X, 228,GRADE VI
The Bugle Song,Alfred Tennyson, X, 230,GRADE VI
The Brave Old Oak,H. F. Chorley, X, 231,GRADE VI
Daybreak,Henry W. Longfellow, X, 232,GRADE VI
The Meadows in Spring,Edward Fitzgerald, X, 238,GRADE VI
Hiawatha's Sailing,Henry W. Longfellow, X, 235,GRADE VI
Procession of the Flowers,Sydney Dobell, X, 239,GRADE VI
The Tiger,William Blake, X, 240,GRADE VI
A Sea Song,Allan Cunningham, X, 241,GRADE VI
Song,Robert Browning, X, 242,GRADE VI
"They come: the Merry Summer Months",William Motherwell, X, 242,GRADE VI
Little Dandelion,Helen B. Bostwick, X, 245,GRADE VI
The Day Is Gone,Henry W. Longfellow, X, 246,GRADE VI
Sailor's Song,Thomas L. Beddoes, X, 248,GRADE VI
The Chambered Nautilus,Oliver W. Holmes, X, 249,GRADE VI
"Home, Sweet Home",John Howard Payne, X, 250,GRADE VI
THE Story of BRUNHILDA AND SIEGFRIED,,II, 99-133 ,GRADE VII 
THE Story of LOHENGRIN,,II, 141-171 ,GRADE VII 
When Brer Wolf Have His Corn Shucking,Anonymous, II, 487 ,GRADE VII 
Brer Rabbit's Cool Air Swing,Anonymous, II, 490 ,GRADE VII 
The Trojan War,Thomas Bulfinch, III, 237 ,GRADE VII 
The Quarrel of the Chiefs,Alfred J. Church, III, 240 ,GRADE VII 
The fight Between Paris and Menelaus,Alfred J. Church, III, 251 ,GRADE VII 
The Duel Between Hector and Ajax,Alfred J. Church, III, 257 ,GRADE VII 
and ati and Death of Patroclus,Alfred J. Church, III, ,GRADE VII 
The Death of Hector,Alfred J. Church, III, 272 ,GRADE VII 
The Ransoming of Hector,Alfred J. Church, III, 283 ,GRADE VII 
The Wooden Horse,Grace Bigelow Patten, III, 295 ,GRADE VII 
The Lotus-Eaters,Sir George W. Cox, III, 301 ,GRADE VII 
Ulysses and the Cyclops,Sir George W. Cox, III, 305 ,GRADE VII 
Circé's Palace,Nathaniel Hawthorne, III, 315 ,GRADE VII 
Ulysses and the Sirens,Sir George W. Cox, III, 353 ,GRADE VII 
Nausicaa Rescues Ulysses,Alfred J. Church, III, 357 ,GRADE VII 
Ulysses and the Swineherd,Alfred J. Church, III, 368 ,GRADE VII 
The Return of Telemachus,Alfred J. Church, III, 373 ,GRADE VII 
Ulysses in His Home,Alfred J. Church, III, 377 ,GRADE VII 
The Trial of the Bow,Alfred J. Church, III, 384 ,GRADE VII 
The Vengeance of Ulysses,Alfred J. Church, III, 389 ,GRADE VII 
The Remnant of the Defeated Army Seeks a New Home, Thomas Bulfinch and Alfred J. Church, III, 397 ,GRADE VII 
The Adventures with the Harpies,H. L. Havell, III, 403 ,GRADE VII 
Pursued by the Cyclops,H. L. Havell, III, 406 ,GRADE VII 
Venus Sends Adneas to Queen Dido,Alfred J. Church, III, 412 ,GRADE VII 
Queen Dido Welcomes Aineas,Alfred J. Church, III, 418 ,GRADE VII 
The Love and Death of Queen Dido,Alfred J. Church, III, 425,GRADE VII 
The Race of the Four Galleys,H. L. Havell, III, 487 ,GRADE VII 
The Foot Race,H. L. Havell, III, 443 ,GRADE VII 
The Boxing Match,H. L. Havell, III, 445 ,GRADE VII 
The Contest of the Archers,H. L. Havell, III, 448 ,GRADE VII 
The Sibyl Speaks to Aineas,Alfred J. Church, III, 450 ,GRADE VII 
The Dwellings of the Dead,Alfred J. Church, III, 455 ,GRADE VII 
