story,reference,timeline
The Lord's Supper,Matthew 26:17 - 26:30 & Mark 14:12 - 14:26 & Luke 22:7 - 22:34 & John 13:1 - 13:30,Jesus' Mortal Ministry
Gethsemane,Matthew 26:36 - 26:56 & Mark 14:32 - 14:52 & Luke 22:39 - 22:54 & John 18:1 - 18:12,Jesus' Mortal Ministry
Jesus on Trial,Matthew 27:1 - 27:26 & Mark 14:53-14:65 & 15:1-15:15 & Luke 22:66 - 23:25 & John 18:12-18:14 & 18:19-19:6,Jesus' Mortal Ministry
Peter Disowns Jesus,Matthew 26:69 - 26:75 & Mark 14:66 - 14:72 & Luke 22:54 - 22:62 & John 18:15-18:18 & 18:25-18:26,Jesus' Mortal Ministry
The Crucifixion,Matthew 27:31 - 27:56 & Mark 15:20 - 15:41 & Luke 23:26 - 23:49 & John 19:17 - 19:37,Jesus' Mortal Ministry
The Burial of Jesus,Matthew 27:57 - 27:66 & Mark 15:42 - 15:47 & Luke 23:50 - 23:56 & John 19:38 - 19:42,Jesus' Mortal Ministry
The Resurrection,Matthew 28:1 - 28:15 & Mark 16:1 - 16:8 & Luke 24:1 - 24:12 & John 20:1 - 20:18,Jesus' Mortal Ministry
On the Road to Emmaus,Luke 24:13 - 24:35,Jesus' Mortal Ministry
Jesus Appears to the Disciples,Matthew 28:16 - 28:20 & Luke 24:36 - 24:53 & John 20:19 - 20:29,Jesus' Mortal Ministry
Jesus Reinstates Peter,John 21:1 - 21:25,Jesus' Mortal Ministry
Jesus Taken Up Into Heaven,Acts 1:4 - 1:11,Jesus' Mortal Ministry
First Days of the Christian Church,Acts 1:12 - 2:47,The Early Church
Peter Heals a Crippled Begger,Acts 3:1 - 3:10,The Early Church
The Apostles Persecuted,Acts 5:17 - 5:42,The Early Church
The Stoning of Stephen,Acts 6:8-7:1 & 7:54-7:60,The Early Church
Saul's Conversion,Acts 9:1 - 9:19,The Early Church
Peter's Miraculous Escape from Prision,Acts 12:1 - 12:17,The Early Church
The Church in Antioch,Acts 11:19 - 11:26,The Early Church
Paul's First Missionary Journey,Acts 13 & 14,The Early Church
Paul and Silas in Prison,Acts 16:16 - 16:40,The Early Church
Paul Preaches in Athens,Acts 17:16 - 17:34,The Early Church
The Riot in Ephesus,Acts 19:1 - 20:1,The Early Church
The Riot in Jerusalem,Acts 21:27 - 22:30,The Early Church
The Shipwreck,Acts 27:1 - 28:10,The Early Church
Paul Preaches in Rome,Acts 28:11 - 28:31,The Early Church
The New Jerusalem,Revelation 21:1 - 22:6,The Early Church
